Freq,Vac
500,0.299771804298918
513.33576474962,0.538344049004359
527.027214742155,0.522823314925871
541.083836647053,0.50862306829205
555.515370157747,0.517706009775324
570.331814740191,0.519929506631109
585.543436561389,0.499507153945739
601.160775602723,0.499817879325685
617.194652962998,0.480190508158661
633.656178356274,0.472704585688842
650.556757809679,0.464504020172205
667.90810156653,0.451771102266806
685.722232200244,0.435424308088953
704.011492944658,0.409857782240219
722.788556246535,0.37505917612609
742.066432546178,0.363735795859412
761.85847929223,0.303926834121701
782.178410196919,0.29465020719682
803.040304738155,0.265985780027576
824.458617915058,0.229358631756069
846.448190263683,0.155499360804307
869.02425813988,0.131058135214407
892.202464276413,0.0752384595980873
915.998868621656,-0.0147764570433535
940.42995946737,-0.0734520990989943
965.512664873274,-0.146346419459878
991.264364396332,-0.237244407343559
1017.70290113287,-0.341555542174044
1044.8465940819,-0.43149704827793
1072.71425083814,-0.553711015357131
1101.32518062362,-0.696937117150017
1130.69920766688,-0.847846627710299
1160.85668493894,-1.00278617657878
1191.81850825568,-1.19611135051436
1223.60613075636,-1.38866719645587
1256.24157776828,-1.59364420791788
1289.7474620679,-1.85427459181164
1324.14699954901,-2.20750904147012
1359.46402530882,-2.78077544167325
1395.723010163,-2.65224017763622
1432.94907760133,-2.89219877091602
1471.16802119548,-3.26770348888943
1510.40632247114,-3.71194960941166
1550.69116925676,-4.18844090034078
1592.05047452181,-4.7055535540901
1634.5128957173,-5.28892682359591
1678.10785463231,-5.95296193174057
1722.86555778004,-6.69413199360331
1768.8170173276,-7.51102937445047
1815.99407258401,-8.45921091240819
1864.42941206138,-9.50868318235361
1914.15659612443,-10.7251702279285
1965.21008024413,-12.1343950602832
2017.62523887156,-13.7941761807675
2071.43838994854,-15.8801354694074
2126.68682007191,-18.2962759923922
2183.4088103291,-21.1777429518631
2241.6436628227,-25.8698686428476
2301.43172790246,-30.5280245215101
2362.8144321237,-30.0689827013816
2425.83430695132,-25.4623410225822
2490.53501822944,-22.0326623855649
2556.96139643704,-20.5270545042554
2625.15946775053,-20.1319550054649
2695.17648593484,-19.7828711091698
2767.06096508511,-19.8445864542701
2840.86271324158,-20.3139764711239
2916.6328669011,-21.1558912068103
2994.4239264491,-22.6327025012369
3074.28979253662,-25.6711818321001
3156.28580342748,-29.790392284822
3240.46877334163,-35.7775133361403
3326.89703182118,-24.9615902129958
3415.63046414633,-26.4166267865334
3506.73055282931,-24.172831919655
3600.26042021499,-22.3106551289275
3696.2848722177,-20.9232212042806
3794.87044322465,-20.7575426577814
3896.08544219691,-21.1807239842555
4000.00000000003,-22.0878679831496
